filename,avg_motion
J3a0lKpe8Lc-0:03:15.320-0:03:17.655.mp4,37.465611
SpP8tRL_Qjw-0:01:20.080-0:01:25.627.mp4,38.133114
CILxGqvyAO8-0:06:26.185-0:06:33.025.mp4,39.472130
ISkjtu05AFs-0:00:33.133-0:00:37.170.mp4,40.042065
FaRYTedgZdU-0:03:51.631-0:03:57.036.mp4,40.248062
FizZzMl_fPc-0:13:34.680-0:13:39.218.mp4,40.329762
7XzxmSRwdPg-0:05:17.717-0:05:33.700.mp4,40.367355
IdrSz0BCqQ8-0:05:59.292-0:06:09.802.mp4,41.127148
5aDrJ-TChn0-0:02:49.068-0:02:53.806.mp4,41.190250
JiYxOjx6zrw-0:03:10.666-0:03:15.666.mp4,43.915993
Eids8xMhYG0-0:10:39.840-0:11:16.480.mp4,44.862377
PYEJ9slpOVU-0:17:15.534-0:17:27.296.mp4,45.106586
40TIsux96KU-0:04:38.840-0:04:52.960.mp4,45.545910
DGg8-h4mMGo-0:03:23.336-0:03:27.040.mp4,46.436512
CuqxCthp6wU-0:13:02.381-0:13:50.429.mp4,46.467129
SCQhaRQjRww-0:15:55.120-0:16:01.126.mp4,47.383812
83bXvJ1cpAQ-0:03:13.126-0:03:20.466.mp4,48.075741
SYMIXNm3dpY-0:01:27.504-0:01:35.845.mp4,48.148830
Iq3SS7hZ8Ro-0:04:17.357-0:04:20.360.mp4,49.792019
PF9FWwdy_8Y-0:04:47.400-0:04:50.520.mp4,50.126583
Rgvl-wwm0BU-0:06:27.720-0:06:35.428.mp4,50.258839
41Haxipystw-0:01:46.480-0:01:52.200.mp4,50.646095
1pgBC7hZw5s-0:03:51.333-0:03:58.033.mp4,51.857437
5UjJU4iLHM4-0:01:32.959-0:01:52.445.mp4,52.829426
7l1FfsdKNs4-0:06:33.900-0:07:21.900.mp4,53.321362
ONs2OPfG2GM-0:05:00.800-0:05:06.372.mp4,53.981510
JVGFAqzmPpQ-0:01:43.760-0:02:02.240.mp4,54.112106
KQFR3pYA858-0:00:15.360-0:00:17.600.mp4,56.709484
2caGDBwNSj0-0:19:53.792-0:19:58.063.mp4,56.957821
E9IeykyuDL0-0:12:01.987-0:12:13.966.mp4,57.093998
TaRAzRrZB3M-0:01:15.208-0:01:35.128.mp4,57.829899
FXkTx1heFkY-0:04:16.280-0:04:19.920.mp4,59.133575
AJggaEk1mms-0:01:23.883-0:01:40.100.mp4,59.571625
PfE7yWY5QSw-0:10:24.165-0:10:28.419.mp4,59.666286
AyC2xEdFYFo-0:05:52.200-0:05:56.240.mp4,59.802750
8ZHCis22G0w-0:02:51.804-0:02:58.711.mp4,60.949425
